epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
19013,9663674,9663774,9663874,33675895124,33614000000,17916282815194572456,8436240755934977467,9480042059259594989,9480042059259594989,17378794330738735282,True
19014,9663777,9663877,9663977,33614000000,33563055545,12410030392381825242,5898219674235102929,6511810718146722313,6511810718146722313,12037729480610370484,True
19015,9663881,9663981,9664081,33563055545,33537932448,20942283614366493137,2625377460592307774,18316906153774185363,18316906153774185363,20314015105935498342,True
19016,9663984,9664084,9664184,33537932448,33542081695,11804952047507069656,6048250943351096697,5756701104155972959,6048250943351096697,11450803486081857566,True
19017,9664089,9664189,9664289,33542081695,33514344956,15725389155484302333,7993218215358497446,7732170940125804887,7732170940125804887,15253627480819773263,True
19018,9664193,9664293,9664393,33514344956,33643692712,19052592573776130057,11764476947998800314,7288115625777329743,11764476947998800314,18481014796562846155,True
19019,9664297,9664397,9664497,33643692712,33581000000,21673073026850623622,15098225982374374727,6574847044476248895,6574847044476248895,21022880836045104913,True
19020,9664401,9664501,9664601,33581000000,33589514065,21968697518950800355,5347677908738886041,16621019610211914314,5347677908738886041,21309636593382276344,True
19021,9664506,9664606,9664706,33589514065,33607000000,14907462967419200159,10418221538208028214,4489241429211171945,10418221538208028214,14460239078396624154,True
19022,9664610,9664710,9664810,33607000000,33649000000,23235050130020784324,14312142529417248399,8922907600603535925,14312142529417248399,22537998626120160794,True
19023,9664713,9664813,9664913,33649000000,33660132875,7882338765005990172,2854806198863482048,5027532566142508124,2854806198863482048,7645868602055810466,True
19024,9664816,9664916,9665016,33660132875,33724158404,14500368887992757434,7859540417454072175,6640828470538685259,7859540417454072175,14065357821352974710,True
19025,9664920,9665020,9665120,33724158404,33741000000,28878494936729228765,21226961485802878055,7651533450926350710,21226961485802878055,28012140088627351902,True
19026,9665024,9665124,9665224,33741000000,33730564045,20570170707543864944,6392769041801998988,14177401665741865956,14177401665741865956,19953065586317548995,True
19027,9665127,9665227,9665327,33730564045,33776000000,20557751974656531681,14081245808118947488,6476506166537584193,14081245808118947488,19941019415416835730,True
19028,9665232,9665332,9665432,33776000000,33777000000,12871105870606560291,7191988305261608545,5679117565344951746,7191988305261608545,12484972694488363482,True
19029,9665336,9665436,9665536,33777000000,33783036464,15866021704053792567,7457026040532728810,8408995663521063757,7457026040532728810,15390041052932178789,True
19030,9665440,9665540,9665640,33783036464,33683984632,15925101904659452721,9008582993986972504,6916518910672480217,6916518910672480217,15447348847519669139,True
19031,9665544,9665644,9665744,33683984632,33611626275,12046890644248973123,5092063286205580976,6954827358043392147,6954827358043392147,11685483924921503929,True
19032,9665648,9665748,9665848,33611626275,33574206131,20045229526980975577,12875927317976413499,7169302209004562078,7169302209004562078,19443872641171546309,True
19033,9665751,9665851,9665951,33574206131,33574974297,14145621611649651696,4250657668965305462,9894963942684346234,4250657668965305462,13721252963300162145,True
19034,9665854,9665954,9666054,33574974297,33521908660,14192622124211739385,4504533152732528012,9688088971479211373,9688088971479211373,13766843460485387203,True
19035,9665957,9666057,9666157,33521908660,33523311207,24124813097593806893,1723523345736409844,22401289751857397049,1723523345736409844,23401068704665992686,True
19036,9666060,9666160,9666260,33523311207,33687000000,19504105025932913559,14710383130502520908,4793721895430392651,14710383130502520908,18918981875154926152,True
19037,9666165,9666265,9666365,33687000000,33699338193,22110939486519786061,12731450254348968500,9379489232170817561,12731450254348968500,21447611301924192479,True
19038,9666268,9666368,9666468,33699338193,33840268758,19263971853371340727,13825944518494320818,5438027334877019909,13825944518494320818,18686052697770200505,True
19039,9666371,9666471,9666571,33840268758,33890000000,24788451035596333598,19198437366724666444,5590013668871667154,19198437366724666444,24044797504528443590,True
19040,9666474,9666574,9666674,33890000000,33914786652,11838081984641939327,3610350846818037626,8227731137823901701,3610350846818037626,11482939525102681147,True
19041,9666577,9666677,9666777,33914786652,33980000000,15012148804395718583,11161998030190201547,3850150774205517036,11161998030190201547,14561784340263847025,True
19042,9666680,9666780,9666880,33980000000,33963920942,15105172032896600711,11671749949423781208,3433422083472819503,3433422083472819503,14652016871909702689,True
19043,9666784,9666884,9666984,33963920942,33963291670,16293851986104218810,5168301108105807674,11125550877998411136,11125550877998411136,15805036426521092245,True
19044,9666887,9666987,9667087,33963291670,34014091809,18753228948320329934,7566823451012154096,11186405497308175838,7566823451012154096,18190632079870720035,True
19045,9666990,9667090,9667190,34014091809,34073701874,18630317632219040419,15699980449582834681,2930337182636205738,15699980449582834681,18071408103252469206,True
19046,9667094,9667194,9667294,34073701874,34202153233,22404768970346597821,20014300487252860690,2390468483093737131,20014300487252860690,21732625901236199886,True
19047,9667198,9667298,9667398,34202153233,34300359410,19322196348092087257,15661956570894470933,3660239777197616324,15661956570894470933,18742530457649324639,True
19048,9667301,9667401,9667501,34300359410,34294616430,14757602020746365968,8282544820674099758,6475057200072266210,6475057200072266210,14314873960123974988,True
19049,9667404,9667504,9667604,34294616430,34264448611,17485731882027143411,11561425286430905711,5924306595596237700,5924306595596237700,16961159925566329108,True
19050,9667507,9667607,9667707,34264448611,34196445527,24601533726627537925,10092340362298622794,14509193364328915131,14509193364328915131,23863487714828711787,True
19051,9667610,9667710,9667810,34196445527,34187118877,19888251663056858308,4594474937352116101,15293776725704742207,15293776725704742207,19291604113165152558,True
19052,9667713,9667813,9667913,34187118877,34255691990,10256686300047149889,6465527161119041054,3791159138928108835,6465527161119041054,9948985711045735392,True
