epoch,genesis,completed,cancelled,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,treasuryAmount,bullBonusAmount,bearBonusAmount,lockPrice,closePrice,startTimestamp,lockTimestamp,closeTimestamp
28375,False,True,False,5320000000000000000,5852200000000000000,5320000000000000000,11151800000000000000,20400000000000000,0,0,37242600000,37248500000,1646954190,1646954490,1646954790
28376,False,True,False,5950000000000000000,5875800000000000000,5875800000000000000,11824450000000000000,1350000000000000,0,0,37248500000,37248100000,1646954499,1646954799,1646955099
28377,False,True,False,5700000000000000000,5658000000000000000,5700000000000000000,11357550000000000000,450000000000000,0,0,37248100000,37263500000,1646954811,1646955111,1646955411
28378,False,True,False,6355000000000000000,5918400000000000000,5918400000000000000,12257350000000000000,16050000000000000,0,0,37263500000,37200100000,1646955120,1646955420,1646955720
28379,False,True,False,5090000000000000000,4519500000000000000,4519500000000000000,9592850000000000000,16650000000000000,0,0,37200100000,37122500000,1646955429,1646955729,1646956029
28380,False,True,False,5952000000000000000,6316300000000000000,5952000000000000000,12250690000000000000,17610000000000000,0,0,37122500000,37217400000,1646955744,1646956044,1646956344
28381,False,True,False,6720000000000000000,7230000000000000000,7230000000000000000,13934700000000000000,15300000000000000,0,0,37217400000,37209600000,1646956057,1646956357,1646956657
28382,False,True,False,5630000000000000000,6150000000000000000,6150000000000000000,11764400000000000000,15600000000000000,0,0,37209600000,37119000000,1646956365,1646956665,1646956965
28383,False,True,False,5790000000000000000,6357900000000000000,5790000000000000000,12132600000000000000,15300000000000000,0,0,37119000000,37167000000,1646956676,1646956976,1646957276
28384,False,True,False,5280000000000000000,5312100000000000000,5312100000000000000,10588500000000000000,3600000000000000,0,0,37167000000,37109600000,1646956985,1646957285,1646957585
28385,False,True,False,5360000000000000000,5672900000000000000,5672900000000000000,11020900000000000000,12000000000000000,0,0,37109600000,37048600000,1646957294,1646957594,1646957894
28386,False,True,False,6920000000000000000,7270000000000000000,6920000000000000000,14179500000000000000,10500000000000000,0,0,37048600000,37075200000,1646957606,1646957906,1646958206
28387,False,True,False,6100000000000000000,6621000000000000000,6621000000000000000,12707200000000000000,13800000000000000,0,0,37075200000,37070900000,1646957915,1646958215,1646958515
28388,False,True,False,6365000000000000000,6760000000000000000,6365000000000000000,13112250000000000000,12750000000000000,0,0,37070900000,37080500000,1646958224,1646958524,1646958824
28389,False,True,False,4890000000000000000,4841100000000000000,4841100000000000000,9731100000000000000,0,0,0,37080500000,37073100000,1646958533,1646958833,1646959133
28390,False,True,False,6540000000000000000,6666600000000000000,6666600000000000000,13188900000000000000,17700000000000000,0,0,37073100000,37016500000,1646958844,1646959144,1646959444
28391,False,True,False,5510000000000000000,5865100000000000000,5510000000000000000,11366100000000000000,9000000000000000,0,0,37016500000,37120100000,1646959156,1646959456,1646959756
28392,False,True,False,6270000000000000000,6620000000000000000,6620000000000000000,12879500000000000000,10500000000000000,0,0,37120100000,37088100000,1646959465,1646959765,1646960065
28393,False,True,False,6235000000000000000,6200000000000000000,6235000000000000000,12433950000000000000,1050000000000000,0,0,37088100000,37103800000,1646959777,1646960077,1646960377
28394,False,True,False,6610000000000000000,6960000000000000000,6960000000000000000,13559500000000000000,10500000000000000,0,0,37103800000,36793500000,1646960146,1646960446,1646960746
28395,False,True,False,5480000000000000000,6034800000000000000,5480000000000000000,11499800000000000000,15000000000000000,0,0,36793500000,36880200000,1646960455,1646960755,1646961055
28396,False,True,False,5830000000000000000,5771700000000000000,5830000000000000000,11601700000000000000,0,0,0,36880200000,36911000000,1646960770,1646961070,1646961370
28397,False,True,False,4900000000000000000,5400000000000000000,4900000000000000000,10285000000000000000,15000000000000000,0,0,36911000000,36917500000,1646961082,1646961382,1646961682
28398,False,True,False,5550000000000000000,5694500000000000000,5694500000000000000,11238500000000000000,6000000000000000,0,0,36917500000,36795000000,1646961391,1646961691,1646961991
28399,False,True,False,5120000000000000000,5120000000000000000,5120000000000000000,10240000000000000000,0,0,0,36795000000,36738800000,1646961703,1646962003,1646962303
28400,False,True,False,5470000000000000000,5670000000000000000,5470000000000000000,11134000000000000000,6000000000000000,0,0,36738800000,36855000000,1646962014,1646962314,1646962614
28401,False,True,False,6910000000000000000,6840900000000000000,6840900000000000000,13750900000000000000,0,0,0,36855000000,36836300000,1646962324,1646962624,1646962924
28402,False,True,False,4980000000000000000,4930200000000000000,4980000000000000000,9910200000000000000,0,0,0,36836300000,36866200000,1646962633,1646962933,1646963233
28403,False,True,False,6130000000000000000,6068700000000000000,6068700000000000000,12198700000000000000,0,0,0,36866200000,36750100000,1646962945,1646963245,1646963545
28404,False,True,False,6200000000000000000,6512000000000000000,6200000000000000000,12704500000000000000,7500000000000000,0,0,36750100000,36767400000,1646963302,1646963602,1646963902
28405,False,True,False,4920000000000000000,4970000000000000000,4920000000000000000,9888500000000000000,1500000000000000,0,0,36767400000,36790100000,1646963614,1646963914,1646964214
28406,False,True,False,5490000000000000000,5336100000000000000,5336100000000000000,10823100000000000000,3000000000000000,0,0,36790100000,36779300000,1646963926,1646964226,1646964526
28407,False,True,False,6510000000000000000,6575100000000000000,6575100000000000000,13085100000000000000,0,0,0,36779300000,36531800000,1646964238,1646964538,1646964838
28408,False,True,False,5080000000000000000,5129200000000000000,5080000000000000000,10206200000000000000,3000000000000000,0,0,36531800000,36549200000,1646964547,1646964847,1646965147
28409,False,True,False,6620000000000000000,6585200000000000000,6620000000000000000,13202200000000000000,3000000000000000,0,0,36549200000,36667500000,1646964858,1646965158,1646965458
28410,False,True,False,6970000000000000000,6900300000000000000,6900300000000000000,13870300000000000000,0,0,0,36667500000,36663300000,1646965170,1646965470,1646965770
28411,False,True,False,5720000000000000000,5770000000000000000,5770000000000000000,11488500000000000000,1500000000000000,0,0,36663300000,36655500000,1646965483,1646965783,1646966083
28412,False,True,False,6420000000000000000,6520000000000000000,6420000000000000000,12937000000000000000,3000000000000000,0,0,36655500000,36670300000,1646965792,1646966092,1646966392
28413,False,True,False,4870000000000000000,4861400000000000000,4861400000000000000,9729600000000000000,1800000000000000,0,0,36670300000,36618800000,1646966103,1646966403,1646966703
28414,False,True,False,6580000000000000000,6580000000000000000,6580000000000000000,13160000000000000000,0,0,0,36618800000,36590600000,1646966414,1646966714,1646967014
28415,False,True,False,5460000000000000000,5405400000000000000,5460000000000000000,10865400000000000000,0,0,0,36590600000,36628800000,1646966726,1646967026,1646967326
28416,False,True,False,5640000000000000000,5630000000000000000,5630000000000000000,11269700000000000000,300000000000000,0,0,36628800000,36570700000,1646967038,1646967338,1646967638
28417,False,True,False,6440000000000000000,6420000000000000000,6440000000000000000,12859400000000000000,600000000000000,0,0,36570700000,36595800000,1646967350,1646967650,1646967950
28418,False,True,False,6900000000000000000,6520000000000000000,6900000000000000000,13408600000000000000,11400000000000000,0,0,36595800000,36640000000,1646967663,1646967963,1646968263
28419,False,True,False,6037000000000000000,6049700000000000000,6049700000000000000,12084090000000000000,2610000000000000,0,0,36640000000,36630100000,1646967972,1646968272,1646968572
28420,False,True,False,6047000000000000000,6020000000000000000,6047000000000000000,12066190000000000000,810000000000000,0,0,36630100000,36695900000,1646968278,1646968578,1646968878
28421,False,True,False,6920000000000000000,6930000000000000000,6920000000000000000,13849700000000000000,300000000000000,0,0,36695900000,36707000000,1646968590,1646968890,1646969190
28422,False,True,False,6477000000000000000,6685500000000000000,6477000000000000000,13152690000000000000,9810000000000000,0,0,36707000000,36768100000,1646968905,1646969205,1646969505
28423,False,True,False,5760000000000000000,6317600000000000000,5760000000000000000,12062600000000000000,15000000000000000,0,0,36768100000,36787300000,1646969217,1646969517,1646969817
28424,False,True,False,7390000000000000000,6920000000000000000,7390000000000000000,14292300000000000000,17700000000000000,0,0,36787300000,36841500000,1646969526,1646969826,1646970126
28425,False,True,False,5650000000000000000,5645900000000000000,5650000000000000000,11294100000000000000,1800000000000000,0,0,36841500000,36843600000,1646969835,1646970135,1646970435
28426,False,True,False,5110000000000000000,4936704300000000000,5110000000000000000,10030669171000000000,16035129000000000,0,0,36843600000,36877100000,1646970147,1646970447,1646970747
28427,False,True,False,6760000000000000000,6903627000000000000,6760000000000000000,13641918190000000000,21708810000000000,0,0,36877100000,36944900000,1646970459,1646970759,1646971059
28428,False,True,False,6730000000000000000,6767000000000000000,6767000000000000000,13496100000000000000,900000000000000,0,0,36944900000,36829500000,1646970768,1646971068,1646971368
28429,False,True,False,6260000000000000000,6074764000000000000,6260000000000000000,12313321080000000000,21442920000000000,0,0,36829500000,36840500000,1646971077,1646971377,1646971677
28430,False,True,False,5790000000000000000,5405400000000000000,5405400000000000000,11185500000000000000,9900000000000000,0,0,36840500000,36825300000,1646971392,1646971692,1646971992
28431,False,True,False,5330000000000000000,4712400000000000000,4712400000000000000,10025300000000000000,17100000000000000,0,0,36825300000,36798800000,1646971701,1646972001,1646972301
28432,False,True,False,6669790000000000000,6256800000000000000,6256800000000000000,12916096300000000000,10493700000000000,0,0,36798800000,36709200000,1646972013,1646972313,1646972613
28433,False,True,False,5390000000000000000,5370000000000000000,5370000000000000000,10743200000000000000,16800000000000000,0,0,36709200000,36705900000,1646972334,1646972634,1646972934
28434,False,True,False,6860000000000000000,6760000000000000000,6860000000000000000,13617000000000000000,3000000000000000,0,0,36705900000,36724700000,1646972646,1646972946,1646973246
28435,False,True,False,6110000000000000000,5573900000000000000,6110000000000000000,11668300000000000000,15600000000000000,0,0,36724700000,36745700000,1646972958,1646973258,1646973558
28436,False,True,False,4910000000000000000,4890000000000000000,4890000000000000000,9798800000000000000,1200000000000000,0,0,36745700000,36739100000,1646973270,1646973570,1646973870
28437,False,True,False,7100000000000000000,6780000000000000000,6780000000000000000,13870400000000000000,9600000000000000,0,0,36739100000,36624800000,1646973582,1646973882,1646974182
28438,False,True,False,5980000000000000000,5276700000000000000,5980000000000000000,11237200000000000000,19500000000000000,0,0,36624800000,36639800000,1646973891,1646974191,1646974491
28439,False,True,False,6310000000000000000,6310000000000000000,6310000000000000000,12620000000000000000,0,0,0,36639800000,36635200000,1646974200,1646974500,1646974800
28440,False,True,False,5920000000000000000,5841100000000000000,5920000000000000000,11759900000000000000,1200000000000000,0,0,36635200000,36646900000,1646974512,1646974812,1646975112
28441,False,True,False,7510000000000000000,6791900000000000000,7510000000000000000,14279400000000000000,22500000000000000,0,0,36646900000,36689800000,1646974821,1646975121,1646975421
28442,False,True,False,4880000000000000000,4801500000000000000,4880000000000000000,9680600000000000000,900000000000000,0,0,36689800000,36787300000,1646975133,1646975433,1646975733
28443,False,True,False,4690000000000000000,4713100000000000000,4713100000000000000,9401000000000000000,2100000000000000,0,0,36787300000,36755400000,1646975445,1646975745,1646976045
28444,False,True,False,5600000000000000000,5330000000000000000,5600000000000000000,10920700000000000000,9300000000000000,0,0,36755400000,36772800000,1646975754,1646976054,1646976354
28445,False,True,False,4930000000000000000,5077800000000000000,4930000000000000000,9995800000000000000,12000000000000000,0,0,36772800000,36805100000,1646976066,1646976366,1646976666
28446,False,True,False,6600000000000000000,6554700000000000000,6600000000000000000,13150200000000000000,4500000000000000,0,0,36805100000,36810000000,1646976377,1646976677,1646976977
28447,False,True,False,5310000000000000000,5272200000000000000,5310000000000000000,10579500000000000000,2700000000000000,0,0,36810000000,36921100000,1646976687,1646976987,1646977287
28448,False,True,False,7140000000000000000,7049600000000000000,7049600000000000000,14183600000000000000,6000000000000000,0,0,36921100000,36902900000,1646976995,1646977295,1646977595
28449,False,True,False,4570000000000000000,4605000000000000000,4570000000000000000,9168400000000000000,6600000000000000,0,0,36902900000,36996500000,1646977310,1646977610,1646977910
28450,False,True,False,6570000000000000000,6330000000000000000,6330000000000000000,12892800000000000000,7200000000000000,0,0,36996500000,36986600000,1646977619,1646977919,1646978219
28451,False,True,False,6900000000000000000,6920000000000000000,6900000000000000000,13814600000000000000,5400000000000000,0,0,36986600000,36991900000,1646977928,1646978228,1646978528
28452,False,True,False,6260000000000000000,6068700000000000000,6260000000000000000,12324800000000000000,3900000000000000,0,0,36991900000,37040000000,1646978237,1646978537,1646978837
28453,False,True,False,6330000000000000000,6327200000000000000,6327200000000000000,12652400000000000000,4800000000000000,0,0,37040000000,36983700000,1646978549,1646978849,1646979149
28454,False,True,False,5750000000000000000,5564300000000000000,5750000000000000000,11307400000000000000,6900000000000000,0,0,36983700000,37001400000,1646978855,1646979155,1646979455
28455,False,True,False,5210000000000000000,5210000000000000000,5210000000000000000,10420000000000000000,0,0,0,37001400000,36993500000,1646979230,1646979530,1646979830
28456,False,True,False,4990000000000000000,4901000000000000000,4990000000000000000,9886800000000000000,4200000000000000,0,0,36993500000,37092100000,1646979539,1646979839,1646980139
28457,False,True,False,5390000000000000000,5350000000000000000,5390000000000000000,10738800000000000000,1200000000000000,0,0,37092100000,37129500000,1646979851,1646980151,1646980451
28458,False,True,False,6980000000000000000,6891400000000000000,6980000000000000000,13864800000000000000,6600000000000000,0,0,37129500000,37227400000,1646980160,1646980460,1646980760
28459,False,True,False,6050000000000000000,5990000000000000000,5990000000000000000,12038200000000000000,1800000000000000,0,0,37227400000,37193800000,1646980472,1646980772,1646981072
28460,False,True,False,5100000000000000000,5024200000000000000,5024200000000000000,10117150000000000000,7050000000000000,0,0,37193800000,37151600000,1646980784,1646981084,1646981384
28461,False,True,False,6720000000000000000,6686000000000000000,6720000000000000000,13401800000000000000,4200000000000000,0,0,37151600000,37164000000,1646981120,1646981420,1646981720
28462,False,True,False,4700000000000000000,4750000000000000000,4700000000000000000,9448500000000000000,1500000000000000,0,0,37164000000,37244700000,1646981429,1646981729,1646982029
28463,False,True,False,5202000000000000000,5241900000000000000,5202000000000000000,10443540000000000000,360000000000000,0,0,37244700000,37328900000,1646981807,1646982107,1646982407
28464,False,True,False,6320000000000000000,6453200000000000000,6320000000000000000,12771100000000000000,2100000000000000,0,0,37328900000,37345900000,1646982131,1646982431,1646982731
28465,False,True,False,6980000000000000000,7099300000000000000,7099300000000000000,14074800000000000000,4500000000000000,0,0,37345900000,37311400000,1646982536,1646982836,1646983136
